ModeOfTransport,Name,Type,Month,Year,PassengerCount
Bus,Outer Sydney Metro Contract 7,Child/Youth,May,2018,"15,528"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jun,2017,"14,856"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jun,2018,"13,448"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jul,2016,"9,970"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jul,2017,"17,814"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jul,2018,"16,825"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Aug,2016,"12,391"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Aug,2017,"15,688"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Aug,2018,"14,655"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Sep,2016,"13,126"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Sep,2017,"16,112"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Sep,2018,"14,152"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Oct,2016,"13,994"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Oct,2017,"16,370"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Oct,2018,"16,928"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Nov,2016,"14,689"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Nov,2017,"15,383"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Nov,2018,"14,086"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Dec,2016,"14,973"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Dec,2017,"16,404"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Dec,2018,"15,893"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jan,2017,"1,730"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jan,2018,"1,816"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jan,2019,"1,664"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Feb,2017,"1,180"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Feb,2018,761
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Feb,2019,886
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Mar,2017,"1,201"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Mar,2018,945
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Apr,2017,"1,484"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Apr,2018,"1,357"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,May,2017,"1,201"
